payment_id,subscription_id,customer_id,payment_date,amount_inr,payment_method,payment_status,gateway
PAY0000024,SUB000004,CUST00004,2022-04-03,299.0,UPI,Success,PayU
PAY0000025,SUB000004,CUST00004,2022-05-03,299.0,UPI,Success,PayU
PAY0000026,SUB000005,CUST00005,2023-06-02,2990.0,Credit Card,Success,PayU
PAY0000027,SUB000005,CUST00005,2024-06-01,2990.0,UPI,Success,Paytm
PAY0000028,SUB000006,CUST00006,2024-01-04,402.3,UPI,Success,Razorpay
PAY0000029,SUB000006,CUST00006,2024-04-03,402.3,Net Banking,Failed,Paytm
PAY0000030,SUB000006,CUST00006,2024-07-02,402.3,UPI,Success,Paytm
PAY0000031,SUB000006,CUST00006,2024-09-30,402.3,UPI,Success,PayU
PAY0000032,SUB000006,CUST00006,2024-12-29,402.3,Credit Card,Success,Razorpay
PAY0000033,SUB000007,CUST00007,2023-04-05,1490.0,Debit Card,Success,PayU
PAY0000034,SUB000007,CUST00007,2024-04-04,1490.0,Net Banking,Success,Paytm
PAY0000035,SUB000008,CUST00008,2023-12-16,1490.0,Wallet,Success,Cashfree
PAY0000036,SUB000008,CUST00008,2024-12-15,1490.0,Wallet,Success,Razorpay
PAY0000037,SUB000009,CUST00009,2022-08-09,807.3000000000001,Net Banking,Success,PayU
PAY0000038,SUB000009,CUST00009,2022-11-07,807.3000000000001,UPI,Success,PayU
PAY0000039,SUB000009,CUST00009,2023-02-05,807.3000000000001,Credit Card,Success,PayU
PAY0000040,SUB000009,CUST00009,2023-05-06,807.3000000000001,Wallet,Success,Cashfree
PAY0000041,SUB000009,CUST00009,2023-08-04,807.3000000000001,Credit Card,Success,Cashfree
PAY0000042,SUB000009,CUST00009,2023-11-02,807.3000000000001,Credit Card,Success,Razorpay
PAY0000043,SUB000009,CUST00009,2024-01-31,807.3000000000001,Credit Card,Success,Cashfree
PAY0000044,SUB000010,CUST00010,2022-04-10,299.0,Credit Card,Success,Paytm
PAY0000045,SUB000010,CUST00010,2022-05-10,299.0,Debit Card,Success,Razorpay
PAY0000046,SUB000010,CUST00010,2022-06-09,299.0,Debit Card,Success,Paytm
PAY0000047,SUB000010,CUST00010,2022-07-09,299.0,Wallet,Success,PayU
PAY0000048,SUB000010,CUST00010,2022-08-08,299.0,Debit Card,Success,Paytm
PAY0000049,SUB000010,CUST00010,2022-09-07,299.0,UPI,Success,Razorpay
PAY0000050,SUB000010,CUST00010,2022-10-07,299.0,Credit Card,Failed,Razorpay
PAY0000051,SUB000010,CUST00010,2022-11-06,299.0,Net Banking,Success,Cashfree
PAY0000052,SUB000010,CUST00010,2022-12-06,299.0,UPI,Success,Razorpay
PAY0000053,SUB000010,CUST00010,2023-01-05,299.0,UPI,Success,PayU
PAY0000054,SUB000010,CUST00010,2023-02-04,299.0,UPI,Success,Paytm
PAY0000055,SUB000010,CUST00010,2023-03-06,299.0,Net Banking,Success,Razorpay
PAY0000056,SUB000010,CUST00010,2023-04-05,299.0,Debit Card,Success,Paytm
PAY0000057,SUB000010,CUST00010,2023-05-05,299.0,Net Banking,Success,PayU
PAY0000058,SUB000010,CUST00010,2023-06-04,299.0,Wallet,Success,Razorpay
PAY0000059,SUB000010,CUST00010,2023-07-04,299.0,UPI,Failed,PayU
PAY0000060,SUB000010,CUST00010,2023-08-03,299.0,Credit Card,Success,PayU
PAY0000061,SUB000010,CUST00010,2023-09-02,299.0,Wallet,Success,Paytm
PAY0000062,SUB000010,CUST00010,2023-10-02,299.0,Net Banking,Success,Cashfree
PAY0000063,SUB000010,CUST00010,2023-11-01,299.0,Wallet,Success,PayU
PAY0000064,SUB000010,CUST00010,2023-12-01,299.0,Wallet,Success,Razorpay
PAY0000065,SUB000010,CUST00010,2023-12-31,299.0,UPI,Success,Cashfree
PAY0000066,SUB000010,CUST00010,2024-01-30,299.0,Debit Card,Success,Cashfree
PAY0000067,SUB000010,CUST00010,2024-02-29,299.0,Net Banking,Success,PayU
PAY0000068,SUB000010,CUST00010,2024-03-30,299.0,Debit Card,Success,Razorpay
PAY0000069,SUB000010,CUST00010,2024-04-29,299.0,Wallet,Success,Cashfree
PAY0000070,SUB000010,CUST00010,2024-05-29,299.0,Debit Card,Success,Paytm
PAY0000071,SUB000010,CUST00010,2024-06-28,299.0,Debit Card,Success,PayU
PAY0000072,SUB000010,CUST00010,2024-07-28,299.0,Debit Card,Success,PayU
PAY0000073,SUB000010,CUST00010,2024-08-27,299.0,Credit Card,Success,PayU
PAY0000074,SUB000010,CUST00010,2024-09-26,299.0,Wallet,Success,Cashfree
PAY0000075,SUB000010,CUST00010,2024-10-26,299.0,Debit Card,Failed,PayU
PAY0000076,SUB000010,CUST00010,2024-11-25,299.0,Wallet,Success,Razorpay
PAY0000077,SUB000010,CUST00010,2024-12-25,299.0,Wallet,Success,PayU
PAY0000078,SUB000011,CUST00011,2024-04-06,299.0,Credit Card,Success,Razorpay
PAY0000079,SUB000011,CUST00011,2024-05-06,299.0,Credit Card,Success,PayU
PAY0000080,SUB000011,CUST00011,2024-06-05,299.0,Credit Card,Success,Razorpay
PAY0000081,SUB000011,CUST00011,2024-07-05,299.0,Wallet,Failed,Cashfree
PAY0000082,SUB000011,CUST00011,2024-08-04,299.0,Net Banking,Success,Razorpay
PAY0000083,SUB000011,CUST00011,2024-09-03,299.0,Credit Card,Failed,Cashfree
PAY0000084,SUB000011,CUST00011,2024-10-03,299.0,Credit Card,Success,Razorpay
PAY0000085,SUB000011,CUST00011,2024-11-02,299.0,UPI,Success,PayU
PAY0000086,SUB000011,CUST00011,2024-12-02,299.0,Credit Card,Success,Paytm
PAY0000087,SUB000012,CUST00012,2023-01-23,499.0,Debit Card,Failed,Paytm
PAY0000088,SUB000012,CUST00012,2023-02-22,499.0,Debit Card,Success,Razorpay
PAY0000089,SUB000012,CUST00012,2023-03-24,499.0,Credit Card,Success,Cashfree
PAY0000090,SUB000012,CUST00012,2023-04-23,499.0,Wallet,Success,PayU
PAY0000091,SUB000012,CUST00012,2023-05-23,499.0,UPI,Success,Cashfree
PAY0000092,SUB000012,CUST00012,2023-06-22,499.0,Wallet,Success,Paytm
PAY0000093,SUB000013,CUST00013,2024-06-25,1752.3000000000002,Credit Card,Success,Razorpay
PAY0000094,SUB000013,CUST00013,2024-09-23,1752.3000000000002,Credit Card,Failed,Cashfree
PAY0000095,SUB000013,CUST00013,2024-12-22,1752.3000000000002,Net Banking,Success,PayU
PAY0000096,SUB000014,CUST00014,2022-02-16,1752.3000000000002,UPI,Failed,Paytm
PAY0000097,SUB000014,CUST00014,2022-05-17,1752.3000000000002,Wallet,Success,Cashfree
PAY0000098,SUB000014,CUST00014,2022-08-15,1752.3000000000002,Credit Card,Success,Paytm
PAY0000099,SUB000014,CUST00014,2022-11-13,1752.3000000000002,Credit Card,Failed,Cashfree
PAY0000100,SUB000014,CUST00014,2023-02-11,1752.3000000000002,Net Banking,Success,Cashfree
PAY0000101,SUB000014,CUST00014,2023-05-12,1752.3000000000002,Credit Card,Success,Razorpay
PAY0000102,SUB000014,CUST00014,2023-08-10,1752.3000000000002,Net Banking,Success,Paytm
PAY0000103,SUB000014,CUST00014,2023-11-08,1752.3000000000002,Credit Card,Success,Razorpay
PAY0000104,SUB000015,CUST00015,2024-05-25,807.3000000000001,Debit Card,Success,Paytm
PAY0000105,SUB000015,CUST00015,2024-08-23,807.3000000000001,Net Banking,Failed,Paytm
PAY0000106,SUB000015,CUST00015,2024-11-21,807.3000000000001,Wallet,Success,Paytm
PAY0000107,SUB000016,CUST00016,2023-04-10,807.3000000000001,Net Banking,Success,Razorpay
PAY0000108,SUB000016,CUST00016,2023-07-09,807.3000000000001,Credit Card,Success,Paytm
PAY0000109,SUB000016,CUST00016,2023-10-07,807.3000000000001,Debit Card,Success,Cashfree
PAY0000110,SUB000016,CUST00016,2024-01-05,807.3000000000001,Debit Card,Success,Paytm
PAY0000111,SUB000016,CUST00016,2024-04-04,807.3000000000001,Net Banking,Success,Cashfree
PAY0000112,SUB000016,CUST00016,2024-07-03,807.3000000000001,Wallet,Success,Cashfree
PAY0000113,SUB000016,CUST00016,2024-10-01,807.3000000000001,Wallet,Success,PayU
PAY0000114,SUB000016,CUST00016,2024-12-30,807.3000000000001,Wallet,Success,Razorpay
PAY0000115,SUB000017,CUST00017,2022-12-30,807.3000000000001,Net Banking,Success,Razorpay
PAY0000116,SUB000017,CUST00017,2023-03-30,807.3000000000001,UPI,Success,Cashfree
PAY0000117,SUB000017,CUST00017,2023-06-28,807.3000000000001,Net Banking,Success,Razorpay
PAY0000118,SUB000017,CUST00017,2023-09-26,807.3000000000001,Net Banking,Success,Razorpay
PAY0000119,SUB000017,CUST00017,2023-12-25,807.3000000000001,Debit Card,Success,PayU
PAY0000120,SUB000017,CUST00017,2024-03-24,807.3000000000001,Credit Card,Failed,PayU
PAY0000121,SUB000017,CUST00017,2024-06-22,807.3000000000001,UPI,Success,Cashfree
PAY0000122,SUB000017,CUST00017,2024-09-20,807.3000000000001,Wallet,Success,PayU
PAY0000123,SUB000017,CUST00017,2024-12-19,807.3000000000001,UPI,Success,Razorpay
PAY0000124,SUB000018,CUST00018,2023-09-16,1490.0,Credit Card,Success,Paytm
PAY0000125,SUB000018,CUST00018,2024-09-15,1490.0,Credit Card,Success,Cashfree
PAY0000126,SUB000019,CUST00019,2022-06-17,1347.3000000000002,Wallet,Success,Paytm
PAY0000127,SUB000019,CUST00019,2022-09-15,1347.3000000000002,Credit Card,Success,Cashfree
PAY0000128,SUB000019,CUST00019,2022-12-14,1347.3000000000002,UPI,Success,Razorpay
PAY0000129,SUB000019,CUST00019,2023-03-14,1347.3000000000002,Debit Card,Success,Cashfree
PAY0000130,SUB000019,CUST00019,2023-06-12,1347.3000000000002,Wallet,Success,PayU
PAY0000131,SUB000019,CUST00019,2023-09-10,1347.3000000000002,Credit Card,Success,PayU
PAY0000132,SUB000019,CUST00019,2023-12-09,1347.3000000000002,Wallet,Success,Cashfree
PAY0000133,SUB000019,CUST00019,2024-03-08,1347.3000000000002,Net Banking,Success,Paytm
PAY0000134,SUB000020,CUST00020,2022-08-13,499.0,Debit Card,Success,Cashfree
PAY0000135,SUB000020,CUST00020,2022-09-12,499.0,Wallet,Success,Razorpay
PAY0000136,SUB000020,CUST00020,2022-10-12,499.0,UPI,Success,Paytm
PAY0000137,SUB000020,CUST00020,2022-11-11,499.0,Debit Card,Success,Razorpay
PAY0000138,SUB000020,CUST00020,2022-12-11,499.0,UPI,Success,Paytm
PAY0000139,SUB000020,CUST00020,2023-01-10,499.0,Credit Card,Success,Paytm
PAY0000140,SUB000020,CUST00020,2023-02-09,499.0,Wallet,Success,PayU
PAY0000141,SUB000020,CUST00020,2023-03-11,499.0,Wallet,Failed,PayU
PAY0000142,SUB000020,CUST00020,2023-04-10,499.0,UPI,Success,Cashfree
PAY0000143,SUB000020,CUST00020,2023-05-10,499.0,Wallet,Success,Razorpay
PAY0000144,SUB000020,CUST00020,2023-06-09,499.0,Credit Card,Success,Razorpay
PAY0000145,SUB000020,CUST00020,2023-07-09,499.0,Debit Card,Success,Paytm
PAY0000146,SUB000020,CUST00020,2023-08-08,499.0,Credit Card,Success,Cashfree
PAY0000147,SUB000020,CUST00020,2023-09-07,499.0,Debit Card,Success,Paytm
PAY0000148,SUB000020,CUST00020,2023-10-07,499.0,Net Banking,Success,PayU
PAY0000149,SUB000020,CUST00020,2023-11-06,499.0,Wallet,Success,Paytm
PAY0000150,SUB000020,CUST00020,2023-12-06,499.0,UPI,Success,Razorpay
PAY0000151,SUB000020,CUST00020,2024-01-05,499.0,Net Banking,Failed,PayU
PAY0000152,SUB000020,CUST00020,2024-02-04,499.0,UPI,Success,Cashfree
PAY0000153,SUB000020,CUST00020,2024-03-05,499.0,Debit Card,Success,Cashfree
PAY0000154,SUB000020,CUST00020,2024-04-04,499.0,Wallet,Success,Paytm
PAY0000155,SUB000020,CUST00020,2024-05-04,499.0,Credit Card,Failed,Razorpay
PAY0000156,SUB000020,CUST00020,2024-06-03,499.0,Wallet,Success,Razorpay
PAY0000157,SUB000020,CUST00020,2024-07-03,499.0,Wallet,Success,Paytm
PAY0000158,SUB000020,CUST00020,2024-08-02,499.0,Wallet,Success,PayU
PAY0000159,SUB000020,CUST00020,2024-09-01,499.0,Credit Card,Success,Razorpay
PAY0000160,SUB000020,CUST00020,2024-10-01,499.0,Net Banking,Success,Razorpay
PAY0000161,SUB000020,CUST00020,2024-10-31,499.0,Credit Card,Success,Paytm
PAY0000162,SUB000020,CUST00020,2024-11-30,499.0,Net Banking,Success,Razorpay
PAY0000163,SUB000020,CUST00020,2024-12-30,499.0,Debit Card,Success,PayU
PAY0000164,SUB000021,CUST00021,2024-04-04,299.0,Net Banking,Failed,Razorpay
PAY0000165,SUB000021,CUST00021,2024-05-04,299.0,Wallet,Success,Paytm
PAY0000166,SUB000021,CUST00021,2024-06-03,299.0,Credit Card,Success,Cashfree
PAY0000167,SUB000021,CUST00021,2024-07-03,299.0,Credit Card,Success,Paytm
PAY0000168,SUB000021,CUST00021,2024-08-02,299.0,UPI,Success,Paytm
PAY0000169,SUB000021,CUST00021,2024-09-01,299.0,Debit Card,Success,Cashfree
PAY0000170,SUB000021,CUST00021,2024-10-01,299.0,Wallet,Success,PayU
PAY0000171,SUB000021,CUST00021,2024-10-31,299.0,Net Banking,Success,Paytm
PAY0000172,SUB000021,CUST00021,2024-11-30,299.0,UPI,Success,Paytm
PAY0000173,SUB000021,CUST00021,2024-12-30,299.0,Credit Card,Success,Cashfree
PAY0000174,SUB000022,CUST00022,2022-08-05,6490.0,Credit Card,Success,PayU
PAY0000175,SUB000022,CUST00022,2023-08-05,6490.0,Debit Card,Success,Paytm
PAY0000176,SUB000022,CUST00022,2024-08-04,6490.0,Credit Card,Success,PayU
PAY0000177,SUB000023,CUST00023,2023-02-10,1490.0,Credit Card,Success,Razorpay
PAY0000178,SUB000023,CUST00023,2024-02-10,1490.0,Credit Card,Success,PayU
PAY0000179,SUB000024,CUST00024,2022-05-23,299.0,Wallet,Success,Cashfree
PAY0000180,SUB000024,CUST00024,2022-06-22,299.0,Debit Card,Success,Razorpay
PAY0000181,SUB000024,CUST00024,2022-07-22,299.0,UPI,Success,PayU
PAY0000182,SUB000024,CUST00024,2022-08-21,299.0,UPI,Success,Cashfree
PAY0000183,SUB000024,CUST00024,2022-09-20,299.0,Debit Card,Success,Paytm
PAY0000184,SUB000024,CUST00024,2022-10-20,299.0,Debit Card,Success,Cashfree
PAY0000185,SUB000024,CUST00024,2022-11-19,299.0,Net Banking,Success,Paytm
PAY0000186,SUB000024,CUST00024,2022-12-19,299.0,Net Banking,Success,Razorpay
PAY0000187,SUB000024,CUST00024,2023-01-18,299.0,Net Banking,Success,PayU
PAY0000188,SUB000024,CUST00024,2023-02-17,299.0,Debit Card,Success,Paytm
PAY0000189,SUB000024,CUST00024,2023-03-19,299.0,Wallet,Success,PayU
PAY0000190,SUB000024,CUST00024,2023-04-18,299.0,Debit Card,Success,Paytm
PAY0000191,SUB000024,CUST00024,2023-05-18,299.0,Net Banking,Success,Paytm
PAY0000192,SUB000024,CUST00024,2023-06-17,299.0,Debit Card,Success,Razorpay
PAY0000193,SUB000024,CUST00024,2023-07-17,299.0,Credit Card,Success,Cashfree
PAY0000194,SUB000024,CUST00024,2023-08-16,299.0,UPI,Success,Razorpay
PAY0000195,SUB000024,CUST00024,2023-09-15,299.0,Net Banking,Success,Paytm
PAY0000196,SUB000024,CUST00024,2023-10-15,299.0,UPI,Success,Cashfree
PAY0000197,SUB000024,CUST00024,2023-11-14,299.0,Wallet,Success,PayU
PAY0000198,SUB000024,CUST00024,2023-12-14,299.0,Credit Card,Success,Razorpay
PAY0000199,SUB000024,CUST00024,2024-01-13,299.0,UPI,Success,Paytm
PAY0000200,SUB000024,CUST00024,2024-02-12,299.0,Net Banking,Success,Paytm
PAY0000201,SUB000024,CUST00024,2024-03-13,299.0,Wallet,Success,Razorpay
PAY0000202,SUB000024,CUST00024,2024-04-12,299.0,Credit Card,Success,Razorpay
PAY0000203,SUB000024,CUST00024,2024-05-12,299.0,Net Banking,Success,Cashfree
PAY0000204,SUB000024,CUST00024,2024-06-11,299.0,Credit Card,Success,PayU
PAY0000205,SUB000024,CUST00024,2024-07-11,299.0,UPI,Success,Cashfree
PAY0000206,SUB000024,CUST00024,2024-08-10,299.0,Credit Card,Success,PayU
PAY0000207,SUB000024,CUST00024,2024-09-09,299.0,Credit Card,Success,Cashfree
PAY0000208,SUB000024,CUST00024,2024-10-09,299.0,UPI,Success,PayU
PAY0000209,SUB000024,CUST00024,2024-11-08,299.0,UPI,Success,Razorpay
PAY0000210,SUB000024,CUST00024,2024-12-08,299.0,Credit Card,Success,Razorpay
PAY0000211,SUB000025,CUST00025,2024-02-04,299.0,Debit Card,Success,Cashfree
PAY0000212,SUB000025,CUST00025,2024-03-05,299.0,Wallet,Success,Paytm
PAY0000213,SUB000025,CUST00025,2024-04-04,299.0,Credit Card,Success,Razorpay
PAY0000214,SUB000025,CUST00025,2024-05-04,299.0,Net Banking,Success,Razorpay
PAY0000215,SUB000025,CUST00025,2024-06-03,299.0,Credit Card,Success,Paytm
PAY0000216,SUB000025,CUST00025,2024-07-03,299.0,Debit Card,Success,Paytm
PAY0000217,SUB000025,CUST00025,2024-08-02,299.0,Wallet,Success,Paytm
PAY0000218,SUB000025,CUST00025,2024-09-01,299.0,Wallet,Success,Paytm
PAY0000219,SUB000025,CUST00025,2024-10-01,299.0,UPI,Failed,Razorpay
PAY0000220,SUB000025,CUST00025,2024-10-31,299.0,Net Banking,Success,Razorpay
PAY0000221,SUB000025,CUST00025,2024-11-30,299.0,Debit Card,Success,PayU
PAY0000222,SUB000025,CUST00025,2024-12-30,299.0,Wallet,Success,Razorpay
PAY0000223,SUB000026,CUST00026,2023-01-06,299.0,Wallet,Success,Paytm
PAY0000224,SUB000026,CUST00026,2023-02-05,299.0,Debit Card,Success,Razorpay
PAY0000225,SUB000026,CUST00026,2023-03-07,299.0,Net Banking,Failed,Paytm
PAY0000226,SUB000026,CUST00026,2023-04-06,299.0,Wallet,Success,PayU
PAY0000227,SUB000026,CUST00026,2023-05-06,299.0,Credit Card,Success,PayU
PAY0000228,SUB000026,CUST00026,2023-06-05,299.0,Wallet,Success,Razorpay
PAY0000229,SUB000026,CUST00026,2023-07-05,299.0,UPI,Failed,PayU
PAY0000230,SUB000026,CUST00026,2023-08-04,299.0,Debit Card,Success,Cashfree
PAY0000231,SUB000026,CUST00026,2023-09-03,299.0,Wallet,Failed,Paytm
PAY0000232,SUB000026,CUST00026,2023-10-03,299.0,Wallet,Failed,Paytm
PAY0000233,SUB000026,CUST00026,2023-11-02,299.0,Credit Card,Success,PayU
PAY0000234,SUB000026,CUST00026,2023-12-02,299.0,UPI,Success,PayU
PAY0000235,SUB000026,CUST00026,2024-01-01,299.0,UPI,Success,Paytm
PAY0000236,SUB000026,CUST00026,2024-01-31,299.0,Debit Card,Success,Paytm
PAY0000237,SUB000026,CUST00026,2024-03-01,299.0,UPI,Success,PayU
PAY0000238,SUB000026,CUST00026,2024-03-31,299.0,Net Banking,Failed,Razorpay
PAY0000239,SUB000026,CUST00026,2024-04-30,299.0,Net Banking,Failed,Cashfree
PAY0000240,SUB000026,CUST00026,2024-05-30,299.0,Wallet,Success,Razorpay
PAY0000241,SUB000026,CUST00026,2024-06-29,299.0,Net Banking,Success,Cashfree
PAY0000242,SUB000026,CUST00026,2024-07-29,299.0,Wallet,Success,Razorpay
PAY0000243,SUB000026,CUST00026,2024-08-28,299.0,Net Banking,Success,Cashfree
PAY0000244,SUB000026,CUST00026,2024-09-27,299.0,Credit Card,Success,PayU
PAY0000245,SUB000026,CUST00026,2024-10-27,299.0,Wallet,Success,Paytm
PAY0000246,SUB000026,CUST00026,2024-11-26,299.0,Debit Card,Success,PayU
PAY0000247,SUB000026,CUST00026,2024-12-26,299.0,Wallet,Success,Paytm
PAY0000248,SUB000027,CUST00027,2022-04-04,402.3,UPI,Success,PayU
PAY0000249,SUB000027,CUST00027,2022-07-03,402.3,Net Banking,Failed,Cashfree
PAY0000250,SUB000027,CUST00027,2022-10-01,402.3,Debit Card,Success,Paytm
PAY0000251,SUB000027,CUST00027,2022-12-30,402.3,Debit Card,Success,PayU
PAY0000252,SUB000027,CUST00027,2023-03-30,402.3,Credit Card,Success,Razorpay
PAY0000253,SUB000027,CUST00027,2023-06-28,402.3,Net Banking,Success,Paytm
PAY0000254,SUB000027,CUST00027,2023-09-26,402.3,Net Banking,Success,PayU
PAY0000255,SUB000027,CUST00027,2023-12-25,402.3,Net Banking,Success,Paytm
PAY0000256,SUB000027,CUST00027,2024-03-24,402.3,Credit Card,Success,PayU
PAY0000257,SUB000027,CUST00027,2024-06-22,402.3,Wallet,Success,PayU
PAY0000258,SUB000027,CUST00027,2024-09-20,402.3,Debit Card,Success,Paytm
PAY0000259,SUB000027,CUST00027,2024-12-19,402.3,Credit Card,Success,Razorpay
PAY0000260,SUB000028,CUST00028,2024-03-22,1490.0,Credit Card,Failed,Razorpay
PAY0000261,SUB000029,CUST00029,2023-01-26,1347.3000000000002,Net Banking,Success,Razorpay
PAY0000262,SUB000029,CUST00029,2023-04-26,1347.3000000000002,Credit Card,Success,Cashfree
PAY0000263,SUB000029,CUST00029,2023-07-25,1347.3000000000002,Debit Card,Success,Razorpay
PAY0000264,SUB000029,CUST00029,2023-10-23,1347.3000000000002,Credit Card,Success,Razorpay
PAY0000265,SUB000029,CUST00029,2024-01-21,1347.3000000000002,Net Banking,Success,PayU
PAY0000266,SUB000029,CUST00029,2024-04-20,1347.3000000000002,Wallet,Success,Razorpay
PAY0000267,SUB000029,CUST00029,2024-07-19,1347.3000000000002,UPI,Success,Cashfree
PAY0000268,SUB000030,CUST00030,2023-07-21,1490.0,Wallet,Success,Cashfree
PAY0000269,SUB000030,CUST00030,2024-07-20,1490.0,Wallet,Success,PayU
PAY0000270,SUB000031,CUST00031,2024-02-08,299.0,Wallet,Success,Cashfree
PAY0000271,SUB000031,CUST00031,2024-03-09,299.0,Net Banking,Success,Razorpay
PAY0000272,SUB000031,CUST00031,2024-04-08,299.0,Debit Card,Success,Cashfree
PAY0000273,SUB000031,CUST00031,2024-05-08,299.0,Debit Card,Success,Razorpay
PAY0000274,SUB000031,CUST00031,2024-06-07,299.0,Debit Card,Success,Cashfree
PAY0000275,SUB000031,CUST00031,2024-07-07,299.0,Wallet,Success,PayU
PAY0000276,SUB000031,CUST00031,2024-08-06,299.0,Net Banking,Success,Cashfree
PAY0000277,SUB000031,CUST00031,2024-09-05,299.0,Wallet,Success,PayU
PAY0000278,SUB000031,CUST00031,2024-10-05,299.0,Net Banking,Failed,Razorpay
PAY0000279,SUB000031,CUST00031,2024-11-04,299.0,UPI,Success,PayU
PAY0000280,SUB000031,CUST00031,2024-12-04,299.0,Wallet,Success,Razorpay
PAY0000281,SUB000032,CUST00032,2023-03-22,2990.0,Net Banking,Success,PayU
PAY0000282,SUB000032,CUST00032,2024-03-21,2990.0,Wallet,Success,PayU
PAY0000283,SUB000033,CUST00033,2023-05-28,6490.0,Wallet,Failed,Razorpay
PAY0000284,SUB000033,CUST00033,2024-05-27,6490.0,Net Banking,Success,Razorpay
PAY0000285,SUB000034,CUST00034,2024-05-11,1490.0,Wallet,Success,Razorpay
PAY0000286,SUB000035,CUST00035,2022-06-06,807.3000000000001,Credit Card,Success,Cashfree
PAY0000287,SUB000035,CUST00035,2022-09-04,807.3000000000001,UPI,Success,Paytm
PAY0000288,SUB000035,CUST00035,2022-12-03,807.3000000000001,Credit Card,Success,Paytm
PAY0000289,SUB000035,CUST00035,2023-03-03,807.3000000000001,Net Banking,Success,Cashfree
PAY0000290,SUB000035,CUST00035,2023-06-01,807.3000000000001,Credit Card,Success,Cashfree
PAY0000291,SUB000035,CUST00035,2023-08-30,807.3000000000001,Credit Card,Success,Razorpay
PAY0000292,SUB000036,CUST00036,2022-01-01,1752.3000000000002,UPI,Success,PayU
PAY0000293,SUB000036,CUST00036,2022-04-01,1752.3000000000002,Wallet,Success,PayU
PAY0000294,SUB000036,CUST00036,2022-06-30,1752.3000000000002,Net Banking,Failed,PayU
PAY0000295,SUB000036,CUST00036,2022-09-28,1752.3000000000002,Wallet,Success,Cashfree
PAY0000296,SUB000036,CUST00036,2022-12-27,1752.3000000000002,Wallet,Success,Paytm
PAY0000297,SUB000036,CUST00036,2023-03-27,1752.3000000000002,UPI,Success,Razorpay
PAY0000298,SUB000036,CUST00036,2023-06-25,1752.3000000000002,Wallet,Success,PayU
PAY0000299,SUB000036,CUST00036,2023-09-23,1752.3000000000002,Net Banking,Success,PayU
PAY0000300,SUB000036,CUST00036,2023-12-22,1752.3000000000002,Debit Card,Failed,PayU
PAY0000301,SUB000036,CUST00036,2024-03-21,1752.3000000000002,Wallet,Success,PayU
PAY0000302,SUB000036,CUST00036,2024-06-19,1752.3000000000002,Debit Card,Success,PayU
PAY0000303,SUB000036,CUST00036,2024-09-17,1752.3000000000002,Debit Card,Success,Razorpay
PAY0000304,SUB000036,CUST00036,2024-12-16,1752.3000000000002,UPI,Success,Paytm
PAY0000305,SUB000037,CUST00037,2022-04-25,1490.0,UPI,Success,PayU
PAY0000306,SUB000037,CUST00037,2023-04-25,1490.0,Wallet,Success,Razorpay
PAY0000307,SUB000037,CUST00037,2024-04-24,1490.0,UPI,Failed,PayU
PAY0000308,SUB000038,CUST00038,2022-09-04,6490.0,Debit Card,Success,Razorpay
PAY0000309,SUB000038,CUST00038,2023-09-04,6490.0,Debit Card,Success,Razorpay
PAY0000310,SUB000038,CUST00038,2024-09-03,6490.0,Debit Card,Success,PayU
