view_id,customer_id,subscription_id,watch_date,genre,platform,duration_mins,content_type,completed
VIEW0000283,CUST00011,SUB000011,26-10-2024,Thriller,Tablet,139,Movie,0
VIEW0000284,CUST00011,SUB000011,07-06-2024,Horror,Web,144,Series,0
VIEW0000285,CUST00011,SUB000011,28-09-2024,Romance,Web,75,Short,1
VIEW0000286,CUST00011,SUB000011,15-05-2024,Comedy,Smart TV,19,Series,0
VIEW0000287,CUST00011,SUB000011,18-08-2024,Action,Smart TV,146,Documentary,1
VIEW0000288,CUST00011,SUB000011,12-08-2024,Drama,Web,34,Documentary,1
VIEW0000289,CUST00011,SUB000011,11-06-2024,Thriller,Web,88,Movie,0
VIEW0000290,CUST00011,SUB000011,21-09-2024,Action,Tablet,40,Series,1
VIEW0000291,CUST00011,SUB000011,09-09-2024,Romance,Mobile,177,Short,0
VIEW0000292,CUST00011,SUB000011,09-08-2024,Thriller,Web,55,Series,1
VIEW0000293,CUST00011,SUB000011,28-12-2024,Documentary,Web,176,Series,1
VIEW0000294,CUST00011,SUB000011,30-12-2024,Action,Smart TV,145,Series,0
VIEW0000295,CUST00011,SUB000011,26-09-2024,Drama,Smart TV,137,Movie,1
VIEW0000296,CUST00011,SUB000011,24-09-2024,Drama,Smart TV,92,Documentary,1
VIEW0000297,CUST00011,SUB000011,24-08-2024,Horror,Smart TV,39,Series,1
VIEW0000298,CUST00011,SUB000011,16-07-2024,Action,Mobile,111,Series,1
VIEW0000299,CUST00011,SUB000011,03-09-2024,Documentary,Mobile,76,Documentary,1
VIEW0000300,CUST00011,SUB000011,03-09-2024,Comedy,Mobile,74,Movie,0
VIEW0000301,CUST00011,SUB000011,17-06-2024,Romance,Smart TV,118,Documentary,1
VIEW0000302,CUST00011,SUB000011,15-07-2024,Documentary,Tablet,159,Series,0
VIEW0000303,CUST00011,SUB000011,15-04-2024,Romance,Tablet,15,Movie,1
VIEW0000304,CUST00011,SUB000011,10-04-2024,Thriller,Tablet,115,Movie,1
VIEW0000305,CUST00011,SUB000011,31-05-2024,Drama,Tablet,157,Documentary,1
VIEW0000306,CUST00011,SUB000011,22-09-2024,Documentary,Tablet,60,Movie,1
VIEW0000307,CUST00011,SUB000011,20-12-2024,Action,Web,129,Movie,1
VIEW0000308,CUST00011,SUB000011,08-11-2024,Comedy,Web,86,Short,1
VIEW0000309,CUST00011,SUB000011,28-12-2024,Romance,Mobile,149,Movie,1
VIEW0000310,CUST00011,SUB000011,21-06-2024,Comedy,Web,23,Movie,1
VIEW0000311,CUST00011,SUB000011,21-12-2024,Horror,Mobile,147,Documentary,1
VIEW0000312,CUST00011,SUB000011,21-04-2024,Documentary,Mobile,162,Short,1
VIEW0000313,CUST00011,SUB000011,17-09-2024,Documentary,Web,69,Movie,1
VIEW0000314,CUST00011,SUB000011,27-09-2024,Romance,Smart TV,58,Documentary,0
VIEW0000315,CUST00011,SUB000011,22-12-2024,Drama,Mobile,94,Series,0
